图像ID,色彩协调性,构图新颖性,主题清晰度,感知技术复杂度,整体美学偏好,风格标签
IMG_0886,2.67,4.33,3.33,5.00,4.00,故障
IMG_0887,2.67,2.67,4.00,3.00,2.33,光流
IMG_0888,2.33,3.00,3.67,4.00,2.67,算法笔触
IMG_0889,3.33,3.67,2.00,3.33,3.00,着色器
IMG_0890,2.33,3.00,4.00,2.00,2.33,程序化纹理
IMG_0891,3.33,2.67,5.00,4.00,4.33,体素
IMG_0892,3.00,3.33,3.33,2.67,3.00,着色器
IMG_0893,3.67,3.67,5.00,2.33,3.67,程序化纹理
IMG_0894,2.33,3.67,3.67,3.67,3.33,分形
IMG_0895,5.00,1.00,3.00,3.00,3.67,光流
IMG_0896,3.00,4.00,3.33,4.00,4.00,GAN 合成
IMG_0897,3.00,3.33,3.67,2.33,2.33,着色器
IMG_0898,4.67,2.00,3.67,3.00,4.67,分形
IMG_0899,3.67,3.00,3.67,4.33,4.67,算法笔触
IMG_0900,2.33,4.00,3.67,4.67,3.67,噪声场
IMG_0901,5.00,3.67,4.67,2.33,4.67,像素拼贴
IMG_0902,3.67,3.33,2.67,3.33,3.33,故障
IMG_0903,3.00,4.00,5.00,2.67,4.33,像素拼贴
IMG_0904,3.33,3.00,5.00,2.33,3.33,光流
IMG_0905,4.00,2.67,2.33,4.33,3.67,故障
IMG_0906,2.67,2.00,2.67,2.00,2.00,数据映射
IMG_0907,2.67,3.33,4.33,3.33,3.33,算法笔触
IMG_0908,3.33,3.00,4.67,2.00,4.33,像素拼贴
IMG_0909,3.33,4.67,4.00,3.33,3.67,着色器
IMG_0910,2.33,3.33,2.67,3.33,2.33,像素拼贴
IMG_0911,2.67,3.00,3.00,2.67,2.00,程序化纹理
IMG_0912,4.00,3.33,1.67,3.67,3.67,故障
IMG_0913,3.67,4.00,4.00,3.33,3.67,像素拼贴
IMG_0914,3.00,4.00,2.00,4.00,3.33,粒子
IMG_0915,2.33,2.00,2.33,2.00,2.00,GAN 合成
IMG_0916,2.33,2.33,1.67,4.33,1.67,故障
IMG_0917,3.67,2.67,3.00,3.00,3.00,体素
IMG_0918,4.33,4.67,3.33,4.00,4.67,分形
IMG_0919,3.33,3.67,3.00,3.00,3.67,GAN 合成
IMG_0920,4.00,3.33,2.00,2.67,3.67,像素拼贴
IMG_0921,4.00,3.67,3.33,3.33,4.33,像素拼贴
IMG_0922,3.00,3.67,3.33,3.33,3.00,分形
IMG_0923,3.00,2.33,3.33,4.00,3.00,故障
IMG_0924,3.33,2.33,3.00,4.33,3.00,粒子
IMG_0925,4.33,4.33,4.67,3.67,4.67,像素拼贴
IMG_0926,3.33,1.67,2.67,4.33,3.67,算法笔触
IMG_0927,4.33,3.00,3.33,3.67,4.00,故障
IMG_0928,2.00,4.67,3.00,4.00,2.00,故障
IMG_0929,2.67,2.67,3.00,3.00,1.67,程序化纹理
IMG_0930,3.00,3.67,2.67,5.00,3.33,噪声场
IMG_0931,2.33,4.33,4.33,4.00,4.00,噪声场
IMG_0932,4.33,2.33,1.67,5.00,4.00,算法笔触
IMG_0933,3.00,2.00,3.00,2.00,3.00,GAN 合成
IMG_0934,4.00,2.67,2.67,4.33,4.67,分形
IMG_0935,2.67,4.00,4.67,3.00,3.00,程序化纹理
IMG_0936,2.33,2.67,2.67,4.00,2.33,算法笔触
IMG_0937,3.33,3.67,4.33,3.33,3.00,光流
IMG_0938,3.33,1.33,2.33,2.00,3.33,体素
IMG_0939,5.00,2.00,4.00,3.00,4.67,分形
IMG_0940,2.67,4.33,5.00,4.33,3.67,噪声场
IMG_0941,4.00,2.67,3.00,4.67,3.67,粒子
IMG_0942,2.67,3.67,3.00,4.00,4.00,故障
IMG_0943,4.00,2.67,2.33,3.00,3.00,像素拼贴
IMG_0944,3.33,2.33,5.00,3.67,4.67,体素
IMG_0945,4.00,2.67,2.00,3.67,3.33,GAN 合成
IMG_0946,2.33,5.00,4.33,3.67,3.00,数据映射
IMG_0947,4.00,2.00,3.67,1.33,4.00,像素拼贴
IMG_0948,4.00,2.33,3.67,3.33,2.67,光流
IMG_0949,2.67,3.33,2.67,5.00,3.67,故障
IMG_0950,5.00,2.33,4.33,4.00,4.67,算法笔触
IMG_0951,2.67,4.00,2.67,3.00,2.33,像素拼贴
IMG_0952,3.67,1.33,1.33,3.33,3.00,故障
IMG_0953,3.67,2.67,2.67,4.67,3.67,噪声场
IMG_0954,3.00,3.67,4.33,2.00,4.00,程序化纹理
IMG_0955,3.00,1.67,1.67,4.00,2.67,GAN 合成
IMG_0956,4.00,2.33,2.67,2.33,2.33,光流
IMG_0957,4.00,2.67,2.00,2.33,2.67,像素拼贴
IMG_0958,4.33,2.67,3.33,3.00,3.67,GAN 合成
IMG_0959,2.00,2.00,4.00,4.33,1.67,噪声场
IMG_0960,3.67,2.67,3.00,2.33,3.33,着色器
IMG_0961,2.33,4.00,4.00,3.67,3.00,GAN 合成
IMG_0962,2.33,4.00,4.00,2.67,2.67,着色器
IMG_0963,3.67,2.33,2.67,4.00,3.67,故障
IMG_0964,3.33,3.00,3.67,2.00,3.00,像素拼贴
IMG_0965,2.67,3.00,3.00,2.33,2.33,着色器
IMG_0966,3.33,3.67,3.33,5.00,3.67,粒子
IMG_0967,3.33,3.00,4.00,4.00,3.67,算法笔触
IMG_0968,4.33,4.00,4.67,2.67,5.00,像素拼贴
IMG_0969,2.67,3.33,1.67,4.67,3.00,分形
IMG_0970,4.00,2.00,3.00,3.00,3.67,故障
IMG_0971,2.33,1.67,2.33,2.67,2.00,GAN 合成
IMG_0972,2.67,2.67,2.00,2.67,2.67,程序化纹理
IMG_0973,3.33,2.00,3.67,1.67,3.33,GAN 合成
IMG_0974,2.67,4.00,4.67,2.00,3.33,体素
IMG_0975,4.67,2.33,2.67,3.67,4.33,体素
IMG_0976,2.67,2.33,1.67,3.67,2.00,GAN 合成
IMG_0977,3.00,3.33,2.67,3.67,3.00,故障
IMG_0978,3.67,3.33,2.67,3.00,3.00,像素拼贴
IMG_0979,2.33,4.00,4.33,4.67,3.33,噪声场
IMG_0980,3.67,3.67,2.00,4.67,3.33,故障
IMG_0981,3.00,3.33,2.33,4.00,4.00,故障
IMG_0982,2.67,2.67,3.00,3.67,3.00,体素
IMG_0983,3.67,3.33,3.33,2.67,3.67,着色器
IMG_0984,5.00,3.67,4.67,3.33,5.00,体素
IMG_0985,3.00,2.67,2.67,3.00,3.33,分形
IMG_0986,4.67,2.67,3.33,3.33,4.33,像素拼贴
IMG_0987,3.00,4.00,3.33,4.00,3.67,噪声场
IMG_0988,4.67,2.00,4.00,2.00,4.00,光流
IMG_0989,3.67,2.33,2.33,2.33,2.67,数据映射
IMG_0990,3.33,1.00,2.67,1.00,2.00,程序化纹理
IMG_0991,3.67,2.67,3.33,3.00,3.33,体素
IMG_0992,4.00,3.33,4.00,4.67,4.67,故障
IMG_0993,4.00,2.00,3.00,2.67,3.33,GAN 合成
IMG_0994,3.00,3.67,4.00,4.00,3.67,分形
IMG_0995,3.67,3.00,2.67,4.33,4.00,故障
IMG_0996,2.67,3.33,4.67,3.33,3.33,体素
IMG_0997,3.67,2.67,3.33,3.00,3.33,像素拼贴
IMG_0998,3.00,2.00,3.33,3.33,3.67,像素拼贴
IMG_0999,3.00,3.00,2.33,4.00,2.67,故障
IMG_1000,2.67,4.67,4.33,4.33,4.33,噪声场
IMG_1001,2.33,2.67,4.00,3.67,2.33,算法笔触
IMG_1002,3.67,3.33,1.67,4.00,3.33,粒子
IMG_1003,2.33,2.67,2.00,4.33,2.33,粒子
IMG_1004,3.67,4.67,2.00,5.00,4.67,粒子
IMG_1005,2.67,2.00,1.33,3.33,1.33,GAN 合成
IMG_1006,3.00,2.67,3.00,4.00,3.00,算法笔触
IMG_1007,3.33,2.00,1.33,3.67,1.67,程序化纹理
IMG_1008,2.00,3.33,3.33,5.00,3.33,噪声场
IMG_1009,2.67,2.67,1.67,4.00,2.67,分形
IMG_1010,2.67,2.67,2.67,3.33,3.00,着色器
IMG_1011,4.67,1.33,2.00,2.00,3.67,光流
IMG_1012,4.00,2.00,2.00,3.67,2.33,分形
IMG_1013,2.33,2.67,2.33,4.33,2.67,故障
IMG_1014,3.00,3.00,4.67,3.33,3.33,光流
IMG_1015,2.33,3.00,3.00,2.67,2.33,GAN 合成
IMG_1016,2.33,1.67,2.67,3.33,3.00,GAN 合成
IMG_1017,2.67,2.67,3.33,4.33,2.33,算法笔触
IMG_1018,4.33,2.33,2.33,2.33,3.00,分形
IMG_1019,2.00,3.33,3.00,3.67,2.33,着色器
IMG_1020,2.67,3.67,3.33,3.67,3.67,光流
IMG_1021,2.67,3.33,3.67,3.33,2.33,光流
IMG_1022,2.33,5.00,3.33,5.00,3.67,粒子
IMG_1023,1.67,2.67,2.33,4.00,2.00,算法笔触
IMG_1024,2.67,4.67,4.00,4.00,3.67,算法笔触
IMG_1025,4.33,3.33,4.00,4.00,4.00,分形
IMG_1026,3.67,2.00,4.00,2.33,3.00,光流
IMG_1027,5.00,2.33,3.67,4.67,4.67,算法笔触
IMG_1028,2.33,1.67,2.33,3.00,2.00,数据映射
IMG_1029,2.33,2.00,2.67,3.33,2.33,算法笔触
IMG_1030,4.00,3.33,3.67,5.00,4.33,故障
IMG_1031,4.33,1.33,1.67,3.00,3.33,算法笔触
IMG_1032,3.67,1.67,2.33,2.33,2.67,GAN 合成
IMG_1033,3.00,3.00,2.00,4.67,2.67,算法笔触
IMG_1034,2.00,4.67,3.33,4.67,3.33,粒子
IMG_1035,2.67,2.67,2.67,3.00,2.00,着色器
IMG_1036,2.67,1.67,2.00,4.33,3.00,算法笔触
IMG_1037,2.00,4.00,3.33,4.33,2.33,噪声场
IMG_1038,2.33,2.67,1.33,3.67,1.67,分形
IMG_1039,3.00,2.00,1.67,4.00,2.67,分形
IMG_1040,3.00,2.67,2.33,3.33,3.00,分形
IMG_1041,3.33,2.00,1.67,3.67,2.67,粒子
IMG_1042,2.00,2.33,4.67,2.33,2.00,程序化纹理
IMG_1043,2.67,3.00,3.33,4.00,4.00,分形
IMG_1044,2.33,3.00,2.33,4.00,3.33,分形
IMG_1045,2.33,3.00,2.00,3.00,1.67,程序化纹理
IMG_1046,2.67,3.67,3.67,4.33,3.67,粒子
IMG_1047,3.00,3.67,3.67,3.33,3.00,GAN 合成
IMG_1048,3.00,2.33,2.33,5.00,3.00,算法笔触
IMG_1049,1.67,1.67,2.33,3.67,2.33,光流
IMG_1050,4.33,2.67,2.33,2.33,3.00,GAN 合成
IMG_1051,2.00,4.00,2.67,3.67,2.67,着色器
IMG_1052,3.67,2.00,2.67,2.33,2.00,着色器
IMG_1053,3.33,3.00,3.33,4.33,3.00,噪声场
IMG_1054,4.33,2.67,3.00,3.00,4.00,GAN 合成
IMG_1055,3.00,2.33,3.33,2.33,3.33,GAN 合成
IMG_1056,3.00,1.67,2.33,3.33,3.00,粒子
IMG_1057,3.00,5.00,4.00,4.67,3.67,粒子
IMG_1058,2.00,4.00,2.33,4.67,2.00,粒子
IMG_1059,5.00,4.00,5.00,3.00,4.67,噪声场
IMG_1060,2.33,3.33,3.00,4.67,2.33,算法笔触
IMG_1061,3.67,1.67,2.00,2.33,2.00,GAN 合成
IMG_1062,2.00,4.00,2.33,5.00,2.67,粒子
IMG_1063,3.00,2.67,1.00,4.33,2.33,算法笔触
IMG_1064,2.67,2.67,3.00,3.00,3.00,GAN 合成
IMG_1065,2.33,2.00,1.00,3.00,1.67,GAN 合成
IMG_1066,3.33,2.33,2.67,3.00,2.67,GAN 合成
IMG_1067,3.00,2.33,2.67,3.33,2.67,程序化纹理
IMG_1068,2.67,4.00,3.33,3.33,2.67,GAN 合成
IMG_1069,2.33,2.67,2.00,4.00,2.00,算法笔触
IMG_1070,2.00,3.00,2.67,4.00,3.00,粒子
IMG_1071,4.33,2.33,2.00,3.67,3.00,分形
IMG_1072,3.00,3.67,2.33,4.00,3.00,GAN 合成
IMG_1073,3.67,1.33,2.33,3.67,3.00,粒子
IMG_1074,4.67,3.33,4.33,3.67,5.00,分形
IMG_1075,3.67,3.67,1.67,4.67,3.00,粒子
IMG_1076,1.67,4.00,3.00,5.00,3.00,噪声场
IMG_1077,2.67,3.00,3.33,3.33,2.67,光流
IMG_1078,2.33,4.00,2.00,5.00,2.67,噪声场
IMG_1079,2.67,4.00,3.00,4.67,3.67,噪声场
IMG_1080,3.00,3.67,2.00,5.00,3.67,分形
IMG_1081,2.33,2.67,2.33,4.33,2.00,算法笔触
IMG_1082,2.00,3.33,2.33,3.33,2.00,数据映射
IMG_1083,2.33,3.00,2.00,2.33,1.33,着色器
IMG_1084,3.00,1.00,1.33,2.00,1.33,分形
IMG_1085,2.33,1.00,2.00,2.00,1.00,程序化纹理
IMG_1086,4.33,3.33,4.33,4.00,5.00,噪声场
IMG_1087,2.00,5.00,3.33,4.67,3.00,噪声场
IMG_1088,2.33,2.00,2.00,3.67,1.67,算法笔触
IMG_1089,3.00,1.33,2.67,4.00,3.33,分形
IMG_1090,2.67,3.33,3.33,5.00,3.33,噪声场
IMG_1091,3.67,3.33,2.67,3.33,3.67,GAN 合成
IMG_1092,3.33,4.33,3.33,3.00,4.00,着色器
IMG_1093,4.33,2.00,2.33,1.33,3.00,像素拼贴
IMG_1094,3.67,3.67,2.00,4.00,3.33,故障
IMG_1095,3.67,4.00,3.67,5.00,4.33,噪声场
IMG_1096,3.33,2.00,2.67,3.33,2.33,体素
IMG_1097,2.00,3.00,3.00,4.67,2.33,算法笔触
IMG_1098,2.67,3.00,2.67,4.67,2.67,粒子
IMG_1099,2.67,3.67,2.67,4.00,3.33,噪声场
IMG_1100,2.67,2.67,3.67,2.33,2.33,光流
IMG_1101,4.67,2.33,1.67,1.67,3.33,GAN 合成
IMG_1102,4.67,4.33,4.00,2.67,5.00,数据映射
IMG_1103,4.33,2.00,2.33,2.67,4.00,体素
IMG_1104,4.67,1.67,1.67,3.00,3.00,光流
IMG_1105,4.33,3.00,2.33,3.33,3.67,分形
IMG_1106,4.33,3.67,4.33,3.00,5.00,噪声场
IMG_1107,5.00,2.00,3.33,3.00,4.33,分形
IMG_1108,2.00,4.00,2.00,5.00,2.00,噪声场
IMG_1109,4.67,1.33,2.00,2.00,2.67,数据映射
IMG_1110,5.00,2.67,2.33,2.67,3.67,GAN 合成
IMG_1111,3.00,4.00,2.67,4.00,3.00,故障
IMG_1112,5.00,1.67,2.67,3.33,4.67,分形
IMG_1113,4.33,2.33,3.00,2.67,3.67,体素
IMG_1114,3.00,2.33,3.00,4.00,2.33,故障
IMG_1115,4.33,2.67,2.00,3.00,3.67,分形
IMG_1116,5.00,3.00,3.33,2.67,4.00,体素
IMG_1117,4.67,4.33,5.00,3.33,4.67,着色器
IMG_1118,2.67,4.33,3.00,3.67,3.67,噪声场
IMG_1119,4.33,3.00,4.00,3.33,4.33,分形
IMG_1120,4.67,1.67,3.00,2.67,4.33,粒子
IMG_1121,5.00,2.67,3.00,2.00,3.67,分形
IMG_1122,4.00,5.00,3.33,3.67,4.33,程序化纹理
IMG_1123,3.67,3.33,4.00,3.67,4.00,算法笔触
IMG_1124,4.33,3.33,2.67,3.00,4.00,噪声场
IMG_1125,4.67,2.33,4.33,2.67,4.33,体素
IMG_1126,3.67,2.00,2.33,3.00,3.33,分形
IMG_1127,3.33,3.67,3.67,3.00,3.00,噪声场
IMG_1128,5.00,2.33,3.67,2.67,4.67,体素
IMG_1129,5.00,2.00,2.67,3.00,4.00,分形
IMG_1130,3.67,3.33,3.67,4.33,4.33,噪声场
IMG_1131,2.67,4.00,3.00,4.33,3.33,噪声场
IMG_1132,4.00,3.33,4.67,3.33,4.67,体素
IMG_1133,4.33,1.67,2.33,3.00,3.67,算法笔触
IMG_1134,5.00,1.67,3.33,2.00,4.33,分形
IMG_1135,5.00,2.67,2.67,3.67,4.00,分形
IMG_1136,2.00,3.00,3.00,3.67,2.33,粒子
IMG_1137,4.67,2.33,3.67,2.67,3.67,程序化纹理
IMG_1138,3.67,3.67,3.33,4.00,4.33,噪声场
IMG_1139,4.33,2.33,2.00,2.67,3.67,分形
IMG_1140,4.00,1.00,2.33,3.00,3.33,体素
IMG_1141,4.67,3.00,3.00,2.67,5.00,分形
IMG_1142,3.00,5.00,2.67,4.00,3.33,噪声场
IMG_1143,2.00,2.00,2.00,4.00,2.67,分形
IMG_1144,3.33,3.67,2.33,4.00,2.00,噪声场
IMG_1145,4.00,2.33,3.67,2.00,2.67,光流
IMG_1146,3.67,3.00,3.67,3.00,4.00,故障
IMG_1147,5.00,2.33,2.33,3.33,3.33,分形
IMG_1148,3.33,4.33,3.00,4.33,3.33,粒子
IMG_1149,5.00,1.00,2.00,3.00,3.33,分形
IMG_1150,4.00,3.00,1.67,4.33,3.33,粒子
IMG_1151,4.67,1.67,1.67,3.00,2.67,分形
IMG_1152,2.67,1.67,2.00,4.33,2.00,算法笔触
IMG_1153,4.00,3.67,4.67,3.00,4.67,分形
IMG_1154,4.67,2.67,1.33,2.00,3.33,数据映射
IMG_1155,4.67,1.67,4.00,1.67,4.00,数据映射
IMG_1156,4.67,3.00,4.67,2.67,4.33,数据映射
IMG_1157,4.67,4.00,4.67,3.00,5.00,分形
IMG_1158,3.00,4.33,3.67,3.67,4.33,粒子
IMG_1159,2.33,4.33,2.67,5.00,3.67,噪声场
IMG_1160,2.33,3.00,3.00,3.00,2.67,故障
IMG_1161,4.67,2.67,3.33,3.33,4.33,分形
IMG_1162,2.00,4.67,3.00,4.33,3.00,噪声场
IMG_1163,2.67,3.33,2.67,3.67,2.67,光流
IMG_1164,4.33,2.33,3.00,3.33,3.67,分形
IMG_1165,4.00,2.00,3.33,3.00,3.33,光流
IMG_1166,3.00,4.33,3.00,3.67,2.33,故障
IMG_1167,5.00,2.00,2.00,3.33,4.00,分形
IMG_1168,4.33,4.00,2.67,3.33,3.33,分形
IMG_1169,3.67,3.00,2.33,3.67,2.33,算法笔触
IMG_1170,3.00,2.00,3.67,3.00,2.00,光流
IMG_1171,2.67,3.33,4.33,3.00,2.67,着色器
IMG_1172,4.33,3.33,2.67,2.67,3.67,数据映射
IMG_1173,5.00,1.00,2.33,2.33,4.00,光流
IMG_1174,5.00,2.33,3.00,2.67,4.33,粒子
IMG_1175,3.00,2.67,2.67,4.00,3.00,算法笔触
IMG_1176,4.00,2.33,1.67,2.67,3.00,GAN 合成
IMG_1177,4.67,2.00,2.00,3.67,3.33,算法笔触
IMG_1178,5.00,2.00,2.00,3.00,3.67,分形
IMG_1179,4.33,2.67,3.00,3.33,4.33,分形
IMG_1180,5.00,2.33,3.00,2.33,5.00,粒子
IMG_1181,4.67,4.00,3.67,3.00,5.00,粒子
IMG_1182,4.00,4.00,3.00,3.00,4.67,粒子
IMG_1183,2.00,4.00,2.67,3.33,2.00,噪声场
IMG_1184,4.00,1.00,1.67,3.33,3.00,分形
IMG_1185,4.33,1.67,3.33,2.33,3.67,分形
IMG_1186,5.00,2.00,2.33,2.33,3.67,体素
IMG_1187,4.67,1.67,3.00,3.33,3.67,分形
IMG_1188,2.67,2.33,3.33,3.67,3.33,分形
IMG_1189,3.33,3.67,3.33,3.33,2.67,光流
IMG_1190,4.33,3.00,3.33,3.33,4.33,光流
IMG_1191,4.33,4.33,5.00,3.33,4.67,着色器
IMG_1192,4.67,2.67,1.33,2.67,4.00,分形
IMG_1193,4.67,4.33,1.33,2.33,3.67,着色器
IMG_1194,4.00,3.00,1.67,2.33,3.00,着色器
IMG_1195,2.33,4.33,3.00,3.00,2.33,光流
IMG_1196,3.00,3.67,2.33,4.00,2.67,噪声场
IMG_1197,5.00,2.67,2.67,3.67,4.33,分形
IMG_1198,4.33,2.67,2.67,3.33,4.00,分形
IMG_1199,2.33,2.33,2.33,3.33,2.33,光流
IMG_1200,4.67,3.67,2.67,2.67,4.33,着色器
IMG_1201,4.33,2.67,5.00,2.00,5.00,光流
IMG_1202,3.67,2.00,3.00,2.67,3.00,GAN 合成
IMG_1203,3.00,2.00,1.33,3.33,1.67,GAN 合成
IMG_1204,2.00,3.33,2.33,5.00,3.00,算法笔触
IMG_1205,4.33,2.67,2.00,3.00,3.67,分形
IMG_1206,1.67,4.00,2.00,4.67,3.33,粒子
IMG_1207,4.33,1.33,2.33,3.33,3.00,程序化纹理
IMG_1208,5.00,1.33,2.00,1.67,2.33,程序化纹理
IMG_1209,4.67,4.00,5.00,3.00,4.00,算法笔触
IMG_1210,1.67,3.67,2.33,5.00,2.67,算法笔触
IMG_1211,3.33,3.00,3.00,3.67,2.67,程序化纹理
IMG_1212,3.67,2.67,4.33,1.67,3.67,像素拼贴
IMG_1213,2.00,3.00,3.67,2.00,2.33,数据映射
IMG_1214,2.67,2.00,4.33,2.67,2.00,光流
IMG_1215,2.67,2.67,2.33,4.33,2.33,粒子
IMG_1216,2.33,3.67,3.00,4.67,3.00,粒子
IMG_1217,5.00,4.33,4.33,2.67,4.67,噪声场
IMG_1218,2.33,3.00,2.67,5.00,3.00,算法笔触
IMG_1219,3.00,3.00,3.00,3.33,2.67,光流
IMG_1220,2.67,3.33,2.67,3.33,2.33,算法笔触
IMG_1221,2.00,3.67,4.00,4.67,3.00,故障
IMG_1222,3.33,2.67,3.67,3.00,4.00,GAN 合成
IMG_1223,2.67,3.00,4.00,3.33,3.00,故障
IMG_1224,3.33,1.67,1.67,2.00,1.00,程序化纹理
IMG_1225,3.33,1.00,3.33,1.67,1.67,像素拼贴
IMG_1226,2.33,2.67,2.00,4.67,2.67,算法笔触
IMG_1227,4.00,3.67,3.33,4.00,3.67,算法笔触
IMG_1228,3.67,2.00,3.00,3.33,3.33,分形
IMG_1229,4.00,3.00,2.67,4.00,4.00,算法笔触
IMG_1230,2.67,1.33,2.00,2.33,2.00,程序化纹理
IMG_1231,3.67,1.00,2.00,2.33,2.33,程序化纹理
IMG_1232,3.00,3.67,3.67,3.33,3.00,着色器
IMG_1233,4.67,1.67,2.33,4.00,4.00,算法笔触
IMG_1234,2.00,3.33,4.00,3.67,3.00,光流
IMG_1235,2.33,3.33,1.00,4.67,1.33,粒子
IMG_1236,2.33,3.00,3.00,3.67,3.00,故障
IMG_1237,3.00,2.33,3.67,4.00,3.00,光流
IMG_1238,3.00,2.00,3.67,3.67,3.00,算法笔触
IMG_1239,4.67,2.00,3.00,2.67,4.00,分形
IMG_1240,2.67,5.00,4.00,4.33,4.00,算法笔触
IMG_1241,3.00,4.33,4.33,3.00,3.33,体素
IMG_1242,4.33,1.00,1.33,1.33,2.67,程序化纹理
IMG_1243,2.00,3.67,3.67,4.00,1.67,着色器
IMG_1244,2.33,3.33,4.00,3.67,3.67,故障
IMG_1245,3.00,3.33,1.00,4.00,2.67,粒子
IMG_1246,2.33,3.67,3.67,4.67,2.67,算法笔触
IMG_1247,3.67,2.00,2.00,2.33,2.33,程序化纹理
IMG_1248,4.33,2.67,3.00,3.67,4.33,故障
IMG_1249,2.00,3.67,2.33,5.00,2.67,算法笔触
IMG_1250,3.67,2.33,3.33,3.67,3.67,算法笔触
IMG_1251,1.67,4.00,3.67,4.00,2.67,算法笔触
IMG_1252,3.00,4.33,3.33,4.33,3.33,故障
IMG_1253,4.33,2.33,4.00,2.33,4.67,光流
IMG_1254,2.67,4.67,2.67,3.33,3.67,程序化纹理
IMG_1255,3.00,2.67,4.00,3.00,2.67,数据映射
IMG_1256,3.33,3.33,1.33,3.67,2.67,算法笔触
IMG_1257,3.00,3.00,2.00,3.00,2.67,GAN 合成
IMG_1258,3.00,1.33,2.00,1.67,1.33,体素
IMG_1259,3.67,2.33,3.00,3.00,2.67,程序化纹理
IMG_1260,2.00,1.67,2.00,3.33,2.33,GAN 合成
IMG_1261,3.33,2.33,3.00,4.33,3.00,算法笔触
IMG_1262,3.33,3.00,5.00,2.33,4.67,光流
IMG_1263,3.00,3.00,3.33,4.00,2.67,着色器
IMG_1264,2.00,3.00,3.00,4.00,3.67,粒子
IMG_1265,3.00,2.33,2.67,4.00,3.33,粒子
IMG_1266,4.33,2.00,2.00,1.67,3.33,像素拼贴
IMG_1267,2.67,2.33,2.00,3.33,3.00,GAN 合成
IMG_1268,4.00,2.00,2.33,4.00,3.67,粒子
IMG_1269,3.33,4.33,3.33,5.00,4.00,算法笔触
IMG_1270,4.33,3.00,1.67,3.67,4.00,粒子
IMG_1271,2.00,3.33,3.00,5.00,2.67,噪声场
IMG_1272,4.33,3.33,3.00,2.33,4.00,GAN 合成
IMG_1273,2.00,4.33,4.67,3.00,3.33,着色器
IMG_1274,4.00,2.00,2.33,3.00,3.00,GAN 合成
IMG_1275,2.67,3.33,4.33,2.67,2.33,体素
IMG_1276,5.00,4.67,5.00,1.00,5.00,体素
IMG_1277,2.33,3.00,3.00,3.67,2.33,噪声场
IMG_1278,1.67,2.67,3.67,2.67,2.00,GAN 合成
IMG_1279,2.00,3.33,4.00,2.00,2.00,GAN 合成
IMG_1280,2.33,4.33,4.00,3.33,3.33,程序化纹理
IMG_1281,3.67,3.00,4.33,4.00,5.00,算法笔触
IMG_1282,3.33,1.67,2.00,2.00,1.67,GAN 合成
IMG_1283,2.33,2.67,4.33,3.33,3.00,程序化纹理
IMG_1284,2.67,4.00,4.33,2.67,3.33,光流
IMG_1285,4.00,2.00,3.33,2.33,2.67,光流
IMG_1286,3.00,2.00,3.67,3.00,3.67,光流
IMG_1287,4.33,2.67,2.00,3.00,3.33,GAN 合成
IMG_1288,2.33,3.00,3.33,4.67,2.33,算法笔触
IMG_1289,4.00,2.00,2.33,3.00,3.00,数据映射
IMG_1290,3.00,1.33,3.67,2.33,2.00,程序化纹理
IMG_1291,2.33,2.00,2.33,3.33,1.33,GAN 合成
IMG_1292,3.00,3.00,2.00,4.00,2.67,光流
IMG_1293,2.00,5.00,3.67,4.67,2.33,故障
IMG_1294,4.33,1.67,4.33,2.67,3.33,程序化纹理
IMG_1295,1.33,3.33,3.33,4.33,2.00,光流
IMG_1296,4.67,1.67,2.00,4.00,3.67,算法笔触
IMG_1297,3.00,2.67,3.00,3.00,2.33,GAN 合成
IMG_1298,1.67,2.00,3.00,4.00,2.00,光流
IMG_1299,2.33,3.00,2.33,3.33,1.33,着色器
IMG_1300,4.33,3.00,3.00,3.33,4.00,粒子
IMG_1301,3.67,4.67,4.33,4.67,4.00,噪声场
IMG_1302,4.67,2.00,3.67,1.33,5.00,分形
IMG_1303,4.00,2.67,3.00,3.33,4.00,GAN 合成
IMG_1304,4.00,2.67,3.33,3.67,4.33,算法笔触
IMG_1305,3.33,2.67,3.67,2.33,3.67,程序化纹理
IMG_1306,2.00,3.33,3.33,5.00,3.00,算法笔触
IMG_1307,4.00,4.00,2.33,4.33,4.33,粒子
IMG_1308,3.67,3.00,4.00,4.00,3.67,算法笔触
IMG_1309,2.00,4.00,3.67,3.67,2.00,着色器
IMG_1310,4.00,3.33,4.33,4.00,4.33,程序化纹理
IMG_1311,2.33,4.00,3.33,4.33,3.00,噪声场
IMG_1312,3.33,2.33,3.00,3.33,3.00,光流
IMG_1313,5.00,2.00,3.67,3.00,4.67,体素
IMG_1314,4.67,3.33,4.33,1.67,4.67,数据映射
IMG_1315,2.67,2.33,2.67,3.67,3.00,分形
IMG_1316,4.33,1.67,1.67,4.00,3.33,算法笔触
IMG_1317,4.33,2.00,3.67,2.00,3.33,像素拼贴
IMG_1318,2.67,4.33,3.00,4.33,3.67,算法笔触
IMG_1319,3.67,3.00,2.33,3.67,3.00,故障
IMG_1320,4.00,1.67,3.33,2.33,3.00,数据映射
IMG_1321,4.00,4.00,3.33,3.00,3.33,着色器
IMG_1322,4.67,2.00,2.33,2.67,3.00,GAN 合成
IMG_1323,3.00,4.00,3.67,4.33,4.00,算法笔触
IMG_1324,5.00,4.00,5.00,3.00,5.00,体素
